Match Number,Round Number,Date,Location,Home Team,Away Team,Result
6,1,08/08/2025 21:30,Gaziantep Stadium,Gaziantep,Galatasaray,0 - 3
4,1,09/08/2025 19:00,Samsun 19 Mayis Stadium,Samsunspor,Genclerbirligi,2 - 1
2,1,09/08/2025 21:30,Antalya Stadium,Antalyaspor,Kasimpasa,2 - 1
8,1,10/08/2025 19:00,Rize City Stadium,Rizespor,Goztep,0 - 3
1,1,10/08/2025 21:30,Pendik Stadium,Eyupspor,Konyaspor,1 - 4
3,1,11/08/2025 21:30,Papara Park,Trabzonspor,Kocaelispor,1 - 0
5,1,17/09/2025 20:00,Atatürk Olympic Stadium,Karagumruk,Istanbul Basaksehir,0 - 2
7,1,17/09/2025 20:00,Ülker Stadium,Fenerbahce,Alanyaspor,2 - 2
9,1,24/09/2025 20:00,RHG Enertürk Enerji Stadium,Kayserispor,Besiktas,0 - 4
16,2,15/08/2025 21:30,Ali Sami Yen Spor Kompleksi,Galatasaray,Karagumruk,3 - 0
18,2,16/08/2025 19:00,Kocaeli Stadium,Kocaelispor,Samsunspor,0 - 1
13,2,16/08/2025 21:30,Alanya Oba Stadium,Alanyaspor,Rizespor,0 - 0
15,2,16/08/2025 21:30,Gürsel Aksel Stadium,Goztep,Fenerbahce,0 - 0
11,2,17/08/2025 19:00,Konya Metropolitan Municipality Stadium,Konyaspor,Gaziantep,3 - 0
17,2,17/08/2025 19:00,Eryaman Stadium,Genclerbirligi,Antalyaspor,0 - 1
12,2,17/08/2025 21:30,Besiktas Stadyumu,Besiktas,Eyupspor,2 - 1
14,2,17/08/2025 21:30,Basaksehir Fatih Terim Stadium,Istanbul Basaksehir,Kayserispor,1 - 1
10,2,18/08/2025 21:30,Recep Tayyip Erdogan Stadium,Kasimpasa,Trabzonspor,0 - 1
20,3,22/08/2025 20:00,Konya Metropolitan Municipality Stadium,Konyaspor,Besiktas,
26,3,22/08/2025 20:00,Rize City Stadium,Rizespor,Istanbul Basaksehir,
23,3,22/08/2025 21:30,Atatürk Olympic Stadium,Karagumruk,Goztep,0 - 2
24,3,23/08/2025 21:30,Gaziantep Stadium,Gaziantep,Genclerbirligi,2 - 1
25,3,23/08/2025 21:30,Ülker Stadium,Fenerbahce,Kocaelispor,3 - 1
21,3,24/08/2025 19:00,Papara Park,Trabzonspor,Antalyaspor,1 - 0
27,3,24/08/2025 21:30,RHG Enertürk Enerji Stadium,Kayserispor,Galatasaray,0 - 4
19,3,25/08/2025 19:00,TBA,Eyupspor,Alanyaspor,2 - 1
22,3,17/09/2025 20:00,Samsun 19 Mayis Stadium,Samsunspor,Kasimpasa,0 - 0
33,4,29/08/2025 21:30,Gürsel Aksel Stadium,Goztep,Konyaspor,1 - 1
28,4,30/08/2025 19:00,Recep Tayyip Erdogan Stadium,Kasimpasa,Gaziantep,2 - 3
36,4,30/08/2025 19:00,Kocaeli Stadium,Kocaelispor,Kayserispor,1 - 1
29,4,30/08/2025 21:30,Antalya Stadium,Antalyaspor,Karagumruk,1 - 2
34,4,30/08/2025 21:30,Ali Sami Yen Spor Kompleksi,Galatasaray,Rizespor,3 - 1
32,4,31/08/2025 19:00,Basaksehir Fatih Terim Stadium,Istanbul Basaksehir,Eyupspor,0 - 0
35,4,31/08/2025 19:00,Eryaman Stadium,Genclerbirligi,Fenerbahce,1 - 3
30,4,31/08/2025 21:30,Papara Park,Trabzonspor,Samsunspor,1 - 1
31,4,31/08/2025 21:30,Alanya Oba Stadium,Alanyaspor,Besiktas,2 - 0
37,5,13/09/2025 17:00,TBA,Eyupspor,Galatasaray,0 - 2
40,5,13/09/2025 17:00,Samsun 19 Mayis Stadium,Samsunspor,Antalyaspor,1 - 2
41,5,13/09/2025 17:00,Atatürk Olympic Stadium,Karagumruk,Kasimpasa,0 - 1
38,5,13/09/2025 20:00,Konya Metropolitan Municipality Stadium,Konyaspor,Alanyaspor,1 - 2
39,5,13/09/2025 20:00,Besiktas Stadyumu,Besiktas,Istanbul Basaksehir,2 - 1
45,5,14/09/2025 17:00,RHG Enertürk Enerji Stadium,Kayserispor,Goztep,1 - 1
42,5,14/09/2025 20:00,Gaziantep Stadium,Gaziantep,Kocaelispor,2 - 0
43,5,14/09/2025 20:00,Ülker Stadium,Fenerbahce,Trabzonspor,1 - 0
44,5,15/09/2025 20:00,Rize City Stadium,Rizespor,Genclerbirligi,1 - 0
51,6,19/09/2025 20:00,Gürsel Aksel Stadium,Goztep,Besiktas,3 - 0
53,6,20/09/2025 17:00,Eryaman Stadium,Genclerbirligi,Eyupspor,1 - 0
47,6,20/09/2025 20:00,Antalya Stadium,Antalyaspor,Kayserispor,1 - 1
48,6,20/09/2025 20:00,Papara Park,Trabzonspor,Gaziantep,1 - 1
50,6,21/09/2025 17:00,Basaksehir Fatih Terim Stadium,Istanbul Basaksehir,Alanyaspor,1 - 1
54,6,21/09/2025 17:00,Kocaeli Stadium,Kocaelispor,Rizespor,1 - 1
46,6,21/09/2025 20:00,Recep Tayyip Erdogan Stadium,Kasimpasa,Fenerbahce,1 - 1
49,6,21/09/2025 20:00,Samsun 19 Mayis Stadium,Samsunspor,Karagumruk,3 - 2
52,6,22/09/2025 20:00,Ali Sami Yen Spor Kompleksi,Galatasaray,Konyaspor,3 - 1
58,7,26/09/2025 20:00,Alanya Oba Stadium,Alanyaspor,Galatasaray,0 - 1
55,7,27/09/2025 17:00,TBA,Eyupspor,Goztep,0 - 0
60,7,27/09/2025 17:00,Gaziantep Stadium,Gaziantep,Samsunspor,2 - 2
59,7,27/09/2025 20:00,Atatürk Olympic Stadium,Karagumruk,Trabzonspor,3 - 4
56,7,28/09/2025 17:00,Konya Metropolitan Municipality Stadium,Konyaspor,Istanbul Basaksehir,2 - 1
62,7,28/09/2025 17:00,Rize City Stadium,Rizespor,Kasimpasa,1 - 2
61,7,28/09/2025 20:00,Ülker Stadium,Fenerbahce,Antalyaspor,2 - 0
63,7,28/09/2025 20:00,RHG Enertürk Enerji Stadium,Kayserispor,Genclerbirligi,1 - 1
57,7,29/09/2025 20:00,Besiktas Stadyumu,Besiktas,Kocaelispor,3 - 1
65,8,03/10/2025 20:00,Antalya Stadium,Antalyaspor,Rizespor,2 - 5
66,8,03/10/2025 20:00,Papara Park,Trabzonspor,Kayserispor,4 - 0
71,8,04/10/2025 14:30,Eryaman Stadium,Genclerbirligi,Alanyaspor,2 - 2
72,8,04/10/2025 17:00,Kocaeli Stadium,Kocaelispor,Eyupspor,1 - 0
70,8,04/10/2025 20:00,Ali Sami Yen Spor Kompleksi,Galatasaray,Besiktas,1 - 1
64,8,05/10/2025 14:30,Recep Tayyip Erdogan Stadium,Kasimpasa,Konyaspor,1 - 1
68,8,05/10/2025 17:00,Atatürk Olympic Stadium,Karagumruk,Gaziantep,0 - 2
67,8,05/10/2025 20:00,Samsun 19 Mayis Stadium,Samsunspor,Fenerbahce,0 - 0
69,8,05/10/2025 20:00,Gürsel Aksel Stadium,Goztep,Istanbul Basaksehir,1 - 0
74,9,18/10/2025 14:30,Konya Metropolitan Municipality Stadium,Konyaspor,Kocaelispor,
75,9,18/10/2025 17:00,Besiktas Stadyumu,Besiktas,Genclerbirligi,
80,9,18/10/2025 17:00,Rize City Stadium,Rizespor,Trabzonspor,
77,9,18/10/2025 20:00,Basaksehir Fatih Terim Stadium,Istanbul Basaksehir,Galatasaray,
81,9,19/10/2025 14:30,RHG Enertürk Enerji Stadium,Kayserispor,Samsunspor,
76,9,19/10/2025 17:00,Alanya Oba Stadium,Alanyaspor,Goztep,
78,9,19/10/2025 17:00,Gaziantep Stadium,Gaziantep,Antalyaspor,
79,9,19/10/2025 20:00,Ülker Stadium,Fenerbahce,Karagumruk,
73,9,20/10/2025 20:00,TBA,Eyupspor,Kasimpasa,
86,10,24/10/2025 20:00,Atatürk Olympic Stadium,Karagumruk,Kayserispor,
90,10,25/10/2025 17:00,Kocaeli Stadium,Kocaelispor,Alanyaspor,
84,10,25/10/2025 20:00,Papara Park,Trabzonspor,Eyupspor,
83,10,26/10/2025 14:30,Antalya Stadium,Antalyaspor,Istanbul Basaksehir,
88,10,26/10/2025 17:00,Ali Sami Yen Spor Kompleksi,Galatasaray,Goztep,
89,10,26/10/2025 17:00,Eryaman Stadium,Genclerbirligi,Konyaspor,
82,10,26/10/2025 20:00,Recep Tayyip Erdogan Stadium,Kasimpasa,Besiktas,
85,10,27/10/2025 20:00,Samsun 19 Mayis Stadium,Samsunspor,Rizespor,
87,10,27/10/2025 20:00,Gaziantep Stadium,Gaziantep,Fenerbahce,
95,11,31/10/2025 20:00,Basaksehir Fatih Terim Stadium,Istanbul Basaksehir,Kocaelispor,
96,11,01/11/2025 17:00,Gürsel Aksel Stadium,Goztep,Genclerbirligi,
97,11,01/11/2025 20:00,Ali Sami Yen Spor Kompleksi,Galatasaray,Trabzonspor,
92,11,02/11/2025 14:30,Konya Metropolitan Municipality Stadium,Konyaspor,Samsunspor,
99,11,02/11/2025 17:00,RHG Enertürk Enerji Stadium,Kayserispor,Kasimpasa,
93,11,02/11/2025 20:00,Besiktas Stadyumu,Besiktas,Fenerbahce,
91,11,03/11/2025 20:00,TBA,Eyupspor,Antalyaspor,
94,11,03/11/2025 20:00,Alanya Oba Stadium,Alanyaspor,Gaziantep,
98,11,03/11/2025 20:00,Rize City Stadium,Rizespor,Karagumruk,
107,12,07/11/2025 20:00,Eryaman Stadium,Genclerbirligi,Istanbul Basaksehir,
105,12,08/11/2025 14:30,Gaziantep Stadium,Gaziantep,Rizespor,
102,12,08/11/2025 17:00,Papara Park,Trabzonspor,Alanyaspor,
100,12,08/11/2025 20:00,Recep Tayyip Erdogan Stadium,Kasimpasa,Goztep,
101,12,08/11/2025 20:00,Antalya Stadium,Antalyaspor,Besiktas,
104,12,09/11/2025 14:30,Atatürk Olympic Stadium,Karagumruk,Konyaspor,
108,12,09/11/2025 17:00,Kocaeli Stadium,Kocaelispor,Galatasaray,
103,12,09/11/2025 20:00,Samsun 19 Mayis Stadium,Samsunspor,Eyupspor,
106,12,09/11/2025 20:00,Ülker Stadium,Fenerbahce,Kayserispor,
117,13,22/11/2025 14:30,RHG Enertürk Enerji Stadium,Kayserispor,Gaziantep,
109,13,22/11/2025 17:00,TBA,Eyupspor,Karagumruk,
115,13,22/11/2025 20:00,Ali Sami Yen Spor Kompleksi,Galatasaray,Genclerbirligi,
114,13,23/11/2025 14:30,Gürsel Aksel Stadium,Goztep,Kocaelispor,
111,13,23/11/2025 17:00,Besiktas Stadyumu,Besiktas,Samsunspor,
112,13,23/11/2025 17:00,Alanya Oba Stadium,Alanyaspor,Kasimpasa,
116,13,23/11/2025 20:00,Rize City Stadium,Rizespor,Fenerbahce,
110,13,24/11/2025 20:00,Konya Metropolitan Municipality Stadium,Konyaspor,Antalyaspor,
113,13,24/11/2025 20:00,Basaksehir Fatih Terim Stadium,Istanbul Basaksehir,Trabzonspor,
126,14,28/11/2025 20:00,Kocaeli Stadium,Kocaelispor,Genclerbirligi,
125,14,29/11/2025 14:30,Rize City Stadium,Rizespor,Kayserispor,
123,14,29/11/2025 17:00,Gaziantep Stadium,Gaziantep,Eyupspor,
118,14,29/11/2025 20:00,Recep Tayyip Erdogan Stadium,Kasimpasa,Istanbul Basaksehir,
120,14,29/11/2025 20:00,Papara Park,Trabzonspor,Konyaspor,
119,14,30/11/2025 17:00,Antalya Stadium,Antalyaspor,Goztep,
122,14,30/11/2025 20:00,Atatürk Olympic Stadium,Karagumruk,Besiktas,
121,14,01/12/2025 20:00,Samsun 19 Mayis Stadium,Samsunspor,Alanyaspor,
124,14,01/12/2025 20:00,Ülker Stadium,Fenerbahce,Galatasaray,
133,15,05/12/2025 20:00,Ali Sami Yen Spor Kompleksi,Galatasaray,Samsunspor,
127,15,06/12/2025 14:30,TBA,Eyupspor,Kayserispor,
128,15,06/12/2025 17:00,Konya Metropolitan Municipality Stadium,Konyaspor,Rizespor,
131,15,06/12/2025 20:00,Basaksehir Fatih Terim Stadium,Istanbul Basaksehir,Fenerbahce,
134,15,07/12/2025 14:30,Eryaman Stadium,Genclerbirligi,Karagumruk,
135,15,07/12/2025 17:00,Kocaeli Stadium,Kocaelispor,Kasimpasa,
132,15,07/12/2025 20:00,Gürsel Aksel Stadium,Goztep,Trabzonspor,
129,15,08/12/2025 20:00,Besiktas Stadyumu,Besiktas,Gaziantep,
130,15,08/12/2025 20:00,Alanya Oba Stadium,Alanyaspor,Antalyaspor,
136,16,12/12/2025 20:00,Recep Tayyip Erdogan Stadium,Kasimpasa,Genclerbirligi,
143,16,13/12/2025 14:30,Rize City Stadium,Rizespor,Eyupspor,
144,16,13/12/2025 17:00,RHG Enertürk Enerji Stadium,Kayserispor,Alanyaspor,
137,16,13/12/2025 20:00,Antalya Stadium,Antalyaspor,Galatasaray,
141,16,14/12/2025 14:30,Gaziantep Stadium,Gaziantep,Goztep,
140,16,14/12/2025 17:00,Atatürk Olympic Stadium,Karagumruk,Kocaelispor,
138,16,14/12/2025 20:00,Papara Park,Trabzonspor,Besiktas,
139,16,14/12/2025 20:00,Samsun 19 Mayis Stadium,Samsunspor,Istanbul Basaksehir,
142,16,15/12/2025 20:00,Ülker Stadium,Fenerbahce,Konyaspor,
145,17,21/12/2025 16:00,TBA,Eyupspor,Fenerbahce,
146,17,21/12/2025 16:00,Konya Metropolitan Municipality Stadium,Konyaspor,Kayserispor,
147,17,21/12/2025 16:00,Besiktas Stadyumu,Besiktas,Rizespor,
148,17,21/12/2025 16:00,Alanya Oba Stadium,Alanyaspor,Karagumruk,
149,17,21/12/2025 16:00,Basaksehir Fatih Terim Stadium,Istanbul Basaksehir,Gaziantep,
150,17,21/12/2025 16:00,Gürsel Aksel Stadium,Goztep,Samsunspor,
151,17,21/12/2025 16:00,Ali Sami Yen Spor Kompleksi,Galatasaray,Kasimpasa,
152,17,21/12/2025 16:00,Eryaman Stadium,Genclerbirligi,Trabzonspor,
153,17,21/12/2025 16:00,Kocaeli Stadium,Kocaelispor,Antalyaspor,
154,18,18/01/2026 16:00,Konya Metropolitan Municipality Stadium,Konyaspor,Eyupspor,
155,18,18/01/2026 16:00,Recep Tayyip Erdogan Stadium,Kasimpasa,Antalyaspor,
156,18,18/01/2026 16:00,Kocaeli Stadium,Kocaelispor,Trabzonspor,
157,18,18/01/2026 16:00,Eryaman Stadium,Genclerbirligi,Samsunspor,
158,18,18/01/2026 16:00,Basaksehir Fatih Terim Stadium,Istanbul Basaksehir,Karagumruk,
159,18,18/01/2026 16:00,Ali Sami Yen Spor Kompleksi,Galatasaray,Gaziantep,
160,18,18/01/2026 16:00,Alanya Oba Stadium,Alanyaspor,Fenerbahce,
161,18,18/01/2026 16:00,Gürsel Aksel Stadium,Goztep,Rizespor,
162,18,18/01/2026 16:00,Besiktas Stadyumu,Besiktas,Kayserispor,
163,19,25/01/2026 16:00,TBA,Eyupspor,Besiktas,
164,19,25/01/2026 16:00,Papara Park,Trabzonspor,Kasimpasa,
165,19,25/01/2026 16:00,Gaziantep Stadium,Gaziantep,Konyaspor,
166,19,25/01/2026 16:00,Rize City Stadium,Rizespor,Alanyaspor,
167,19,25/01/2026 16:00,RHG Enertürk Enerji Stadium,Kayserispor,Istanbul Basaksehir,
168,19,25/01/2026 16:00,Ülker Stadium,Fenerbahce,Goztep,
169,19,25/01/2026 16:00,Atatürk Olympic Stadium,Karagumruk,Galatasaray,
170,19,25/01/2026 16:00,Antalya Stadium,Antalyaspor,Genclerbirligi,
171,19,25/01/2026 16:00,Samsun 19 Mayis Stadium,Samsunspor,Kocaelispor,
172,20,01/02/2026 16:00,Alanya Oba Stadium,Alanyaspor,Eyupspor,
173,20,01/02/2026 16:00,Besiktas Stadyumu,Besiktas,Konyaspor,
174,20,01/02/2026 16:00,Antalya Stadium,Antalyaspor,Trabzonspor,
175,20,01/02/2026 16:00,Recep Tayyip Erdogan Stadium,Kasimpasa,Samsunspor,
176,20,01/02/2026 16:00,Gürsel Aksel Stadium,Goztep,Karagumruk,
177,20,01/02/2026 16:00,Eryaman Stadium,Genclerbirligi,Gaziantep,
