Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PSCH,PSCD,PSCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,BFECH,BFECD,BFECA,B365CH,B365CD,B36CA
Norway,Eliteserien,2025,20/09/2025,13:00,Fredrikstad,Bryne,1,1,D,1.71,3.95,5.0,1.8,3.8,5.0,1.73,3.54,4.5,1.8,3.75,5.3,1.8,3.6,4.5
Norway,Eliteserien,2025,20/09/2025,15:00,Sandefjord,Brann,0,3,A,3.35,3.99,2.06,3.35,4.0,2.08,3.18,3.77,1.97,3.65,4.2,2.0,3.3,3.9,1.95
Norway,Eliteserien,2025,20/09/2025,17:00,Valerenga,KFUM Oslo,1,1,D,2.32,3.64,3.05,2.63,3.6,2.88,2.43,3.37,2.66,2.6,3.7,2.82,2.63,3.5,2.5
Norway,Eliteserien,2025,21/09/2025,13:30,Rosenborg,Bodo/Glimt,1,1,D,3.46,4.09,2.0,3.4,4.0,2.1,3.23,3.77,1.97,3.55,4.0,2.08,3.3,3.8,2.1
Norway,Eliteserien,2025,21/09/2025,16:00,Kristiansund,Haugesund,2,0,H,1.41,5.41,7.12,1.3,6.25,11.0,1.25,5.72,9.08,1.3,6.6,11.5,1.25,6.25,10.0
Norway,Eliteserien,2025,21/09/2025,16:00,Stromsgodset,Sarpsborg 08,2,1,H,2.43,3.97,2.7,2.32,3.9,3.0,2.18,3.77,2.78,2.32,4.0,3.0,2.15,3.8,3.0
Norway,Eliteserien,2025,21/09/2025,16:00,Tromso,HamKam,1,0,H,1.41,5.14,7.62,1.36,5.0,10.0,1.34,4.73,8.02,1.37,5.4,10.5,1.36,5.0,8.0
Norway,Eliteserien,2025,21/09/2025,18:15,Viking,Molde,1,0,H,1.72,4.47,4.35,1.68,4.4,4.5,1.65,4.12,4.2,1.72,4.6,4.7,1.67,4.33,4.2
Norway,Eliteserien,2025,27/09/2025,17:00,Sarpsborg 08,Viking,3,3,D,3.8,4.23,1.87,3.9,4.2,1.83,3.64,4.0,1.78,4.2,4.2,1.86,3.9,4.2,1.8
Norway,Eliteserien,2025,28/09/2025,13:30,Brann,Fredrikstad,1,0,H,1.53,4.58,6.02,1.5,4.6,6.25,1.48,4.27,5.76,1.54,4.7,6.8,1.5,4.33,6.25
Norway,Eliteserien,2025,28/09/2025,16:00,Bryne,Kristiansund,2,0,H,2.12,3.61,3.51,2.2,3.65,3.3,2.12,3.41,3.12,2.32,3.55,3.3,2.2,3.5,3.1
Norway,Eliteserien,2025,28/09/2025,16:00,HamKam,Rosenborg,4,0,H,3.92,3.86,1.93,3.9,3.8,1.91,3.65,3.6,1.88,4.0,4.0,1.97,3.9,3.7,1.9
Norway,Eliteserien,2025,28/09/2025,16:00,Tromso,Stromsgodset,3,1,H,1.51,4.46,6.76,1.45,4.9,7.0,1.41,4.43,6.48,1.51,4.7,7.6,1.42,4.5,7.0
Norway,Eliteserien,2025,28/09/2025,18:15,Molde,Valerenga,4,1,H,1.83,4.21,3.98,1.78,4.2,4.2,1.73,3.95,3.93,1.83,4.3,4.4,1.75,4.1,4.1
Norway,Eliteserien,2025,29/09/2025,18:00,Haugesund,Sandefjord,2,3,A,5.94,4.89,1.51,7.5,5.33,1.44,6.51,4.76,1.38,8.0,5.5,1.42,7.0,5.25,1.38
Norway,Eliteserien,2025,01/10/2025,18:00,KFUM Oslo,Fredrikstad,2,1,H,1.93,3.42,4.5,1.85,3.55,4.5,1.81,3.37,4.21,1.9,3.6,4.8,1.8,3.5,4.33
Norway,Eliteserien,2025,04/10/2025,13:00,Valerenga,Tromso,1,0,H,2.98,3.68,2.35,2.9,3.6,2.35,2.84,3.45,2.25,3.0,3.75,2.42,2.9,3.4,2.35
Norway,Eliteserien,2025,04/10/2025,15:00,Sandefjord,Bryne,1,0,H,1.82,4.13,4.12,1.79,4.1,4.75,1.69,3.83,4.31,1.77,4.3,4.8,1.67,4.1,4.5
Norway,Eliteserien,2025,04/10/2025,17:00,Kristiansund,Molde,2,1,H,3.41,3.88,2.07,3.33,3.75,2.08,3.17,3.65,2.01,3.5,4.0,2.12,3.3,3.75,2.05
Norway,Eliteserien,2025,05/10/2025,13:30,Viking,Brann,3,0,H,2.22,3.89,3.08,2.15,3.85,3.2,2.09,3.7,2.97,2.24,4.0,3.25,2.1,3.7,3.2
Norway,Eliteserien,2025,05/10/2025,16:00,Bodo/Glimt,Haugesund,2,0,H,1.02,21.88,35.75,1.03,21.0,51.0,1.02,16.13,36.0,1.04,29.0,65.0,1.03,17.0,41.0
Norway,Eliteserien,2025,05/10/2025,16:00,Fredrikstad,HamKam,1,1,D,2.04,3.71,3.63,1.98,3.7,4.0,1.92,3.46,3.64,2.08,3.65,3.9,1.95,3.5,3.8
Norway,Eliteserien,2025,05/10/2025,16:00,Stromsgodset,KFUM Oslo,1,1,D,3.47,3.51,2.17,3.5,3.5,2.12,3.29,3.33,2.08,3.6,3.6,2.2,3.5,3.4,2.1
Norway,Eliteserien,2025,05/10/2025,18:15,Rosenborg,Sarpsborg 08,2,3,A,1.68,4.51,4.56,1.78,4.3,4.3,1.7,4.04,4.02,1.82,4.3,4.3,1.75,4.0,4.0
